Dataset	Algorithm	Level	Delta	Number of Communities	Nodes in Largest Community	Community Sizes	Singletons	Modularity	Closeness Centrality	ARI (L1)	RI (L1)	ARI (L2)	RI (L2)	Notes
Cho-384	Spinglass	L1	0.15	3	170	"[170, 112, 102]"	0	0.3768644247814299	0.8988913127653638	0.4312565019115384	0.7618853350739774			"Best in ARI L1, RI L1 of Delta = 0.15, Cho-384"
Cho-384	Spinglass	L2	0.15	6	97	"[97, 73, 56, 56, 54, 48]"	0	0.2559862365793267	0.9754810853519454			0.11078441855525553	0.8040160642570281	"Best in ARI L2, RI L2 of Delta = 0.15, Cho-384"
Cho-384	Infomap	L1	0.5	6	162	"[162, 77, 70, 66, 7, 2]"	0	0.4477478969359953	0.8193134370352593	0.483992899	0.8036743907745866			"Best in ARI L1, RI L1 of Delta = 0.50, Cho-384"
Cho-384	Spinglass	L2	0.5	9	75	"[75, 75, 72, 64, 32, 29, 17, 14, 5]"	0	0.3239552373563035	0.875379423			0.1254351707502054	0.8300109529025191	"Best in ARI L2 of Delta = 0.50, Cho-384"
Cho-384	Walktrap	L2	0.5	22	78	"[78, 67, 52, 44, 43, 43, 18, 15, 9, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"	12	0.2913139571962047	0.910323791			0.11421063195155026	0.8470244614822928	"Best in RI L2 of Delta = 0.50, Cho-384"
Cho-384	Girvan-Newman	L1	0.85	5	131	"[131, 65, 59, 50, 5]"	0	0.38509673205511147	0.42904662626076084	0.5573336713906132	0.8264954588161604			"Best in ARI L1 and ARI L2 of Delta = 0.85, Cho-384"
Cho-384	LFM	L1	0.85	11	135	"[135, 66, 54, 52, 32, 14, 7, 7, 3, 2, 2]"	0	0.3773026728794188	0.43860242522112336	0.5544237744564979	0.8327800396701117			"Best in RI L1 of Delta = 0.85, Cho-384"
Cho-384	Spinglass	L2	0.85	29	32	"[32, 27, 27, 25, 19, 19, 19, 14, 12, 12, 11, 11, 10, 9, 9, 9, 6, 5, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2]"	0	0.334528872	0.6768307762788909			0.11418228021700987	0.9098277608915907	"Best in ARI L2 of Delta = 0.85, Cho-384"
Cho-170	Paris	L1	0.15	3	76	"[76, 65, 29]"	0	0.32186480722842875	0.8932931796685059	0.380618862	0.7303863557257222			"Best in ARI L1, RI L1 of Delta = 0.15, Cho-170"
Cho-170	Paris	L2	0.15	7	37	"[37, 34, 28, 24, 18, 15, 14]"	0	0.2172340377696108	0.980273			0.12514194033850048	0.8399582318134354	"Best in ARI L2, RI L2 of Delta = 0.15, Cho-170"
Cho-170	Spinglass	L1	0.5	5	71	"[71, 41, 29, 27, 1]"	1	0.39517688080627383	0.8574775461098101	0.5077815536509914	0.806494787			"Best in ARI L1, RI L1 of Delta = 0.50, Cho-170"
Cho-170	Walktrap	L2	0.5	8	71	"[71, 25, 19, 15, 12, 11, 8, 8]"	0	0.30997189301602457	0.9271542437196499			0.13201636317913196	0.782967033	"Best in ARI L2, Delta = 0.50, Cho-170"
Cho-170	Spinglass	L2	0.5	8	39	"[39, 32, 24, 17, 16, 15, 13, 12]"	0	0.24010509011835307	0.9387205830184642			0.11082482661046346	0.8479149056072133	"Best in RI L2, Delta = 0.50, Cho-170"
Cho-170	LFM	L1	0.85	4	64	"[64, 18, 3, 2]"	0	0.098890395	0.5657329768701879	0.5256593502493054	0.7633053221288515			"Best in ARI L1 and RI L1 of Delta  = 0.85, Cho-170"
Cho-170	Girvan-Newman	L2	0.85	8	58	"[58, 14, 3, 2, 2, 1, 1, 1]"	3	0.076248505	0.6417296114644556			0.13942132588203016	0.5761904761904761	"Best in ARI L2 Delta  = 0.85, Cho-170"
Cho-170	Spinglass	L2	0.85	14	12	"[12, 10, 9, 7, 7, 7, 5, 5, 5, 5, 4, 3, 2, 2]"	0	0.15326627813599075	0.8793309798286225			0.068727278	0.8579831932773109	"Best in RI L2 Delta  = 0.85, Cho-170"
